Country,"GDP
(nominal, 2017)"
Saint Kitts & Nevis,"$992,007,403"
Vanuatu,"$862,879,789"
Samoa,"$840,927,997"
St. Vincent & Grenadines,"$785,222,509"
American Samoa,"$634,000,000"
Dominica,"$496,727,000"
Tonga,"$427,659,795"
Sao Tome & Principe,"$392,570,293"
Palau,"$289,823,500"
Marshall Islands,"$204,173,430"
Kiribati,"$185,572,502"
Tuvalu,"$39,731,317"
