,0,1,2,3
1061,양수리점,경기도 양평군 양서면 목왕로 19-1 1층,경기도,031-772-7974
1062,설악점,"경기도 가평군 설악면 신천중앙로 137-1, 1층",경기도,031-585-1282
1063,청평점,경기도 가평군 청평면 청평중앙로 64,경기도,031-585-8960
1064,가평점,"경기도 가평군 가평읍 가화로 133, 1층",경기도,031-582-9191
1065,가평목동점,경기도 가평군 북면 화악산로 11,경기도,031-582-7114
1066,현리점,경기도 가평군 하면 청군로 1185,경기도,031-585-2567
1067,호원점,경기도 의정부시 호원동 454-14,경기도,031-871-7959
1068,장암점,"경기도 의정부시 동일로 466번길 70, 1층 106호(신곡동)",경기도,031-848-5592
1069,신곡점,경기도 의정부시 장금로78번길 49(신곡동),경기도,031-856-8286
1070,송우리점,경기도 포천시 소흘읍 태봉로 166번길 5,경기도,031-554-9696
1071,가산점,경기도 포천시 가산면 가산로 370,경기도,031-543-0575
1072,포천점,경기도 포천시 호병로 55,경기도,031-535-9292
1073,관인점,경기도 포천시 관인면 관인로 21,경기도,031-534-9555
1074,군남점,경기도 연천군 군남면 군남로 129,경기도,031-833-9292
1075,전곡점,경기도 연천군 전곡읍 밤골로 6,경기도,031-832-9942
1076,상패점,경기도 동두천시 상패로 186,경기도,031-865-1102
1077,동두천3호점,경기도 동두천시 장고갯로 267(보산동),경기도,031-865-1222
1078,동두천1호점,경기도 동두천시 지행로107번길 29(지행동),경기도,031-865-9994
1079,동두천2호점,"경기도 동두천시 동두천로63, 1층 102호(송내동, 상가동)",경기도,031-858-9252
1080,덕정점,경기도 양주시 덕정길 50 가-1 4필지,경기도,031-858-9297
1081,삼숭점,경기도 양주시 삼숭로38번길 102,경기도,031-846-9294
1082,월곶군하점,경기도 김포시 월곶면 군하리 170번지,경기도,032-997-1195
1083,대곶점,경기도 김포시 대곶면 송마리 3-18,경기도,031-984-9288
1084,대능,경기도 김포시 대곶면 대능리 150-1,경기도,031-997-9242
1085,구래,김포시 김포 한강9로 12번길 8-6 (구래동 6896-14),경기도,031-996-3392
1086,장기점,경기도 김포시 장기동 1407,경기도,031-989-9242
1087,사우북변,경기도 김포시 사우동 225-3 103호,경기도,031-983-9208
1088,풍무,경기도 김포시 풍무동 629 1층 103호,경기도,031-983-3889
1089,케이준 덕풍점,경기도 하남시 덕풍동 335-7번지,경기도,032-791-7942
1090,태평,경기도 평택시 고덕면 궁리 75,경기도,031-664-5548
1091,평택세교,경기도 평택시 세교2로 45 상가 109,경기도,031-656-9366
1092,장안점,경기도 평택시 추담로 58-78,경기도,031-665-8842
1093,현대,경기도 평택시 이충동 381 현대상가 103호,경기도,031-663-9959
1094,서정1호점,경기도 평택시 서정동 871-19,경기도,031-663-8892
1095,지산서정점,경기도 평택시 서정동 799-2,경기도,031-667-8253
1096,고현점,경기도 오산시 고현동 17,경기도,031-378-8292
1097,누읍점,경기도 오산시 누읍로 20,경기도,031-373-9282
1098,궐동,경기도 오산시 궐동 673-1 1층 (616-6),경기도,031-372-8998
1099,오산세교점,경기도 오산시 수청동589-2,경기도,031-378-6606
1100,은계,경기도 오산시 은계동 33-3,경기도,031-377-9245
1101,금호,"경기도 수원시 권선구 금호로 285,2층(호매실동)",경기도,031-891-1515
1102,서수원,경기도 수원시 권선구 구운동 525-4,경기도,031-291-7885
1103,송죽조원,경기도 수원시 장안구 송죽동 500,경기도,031-245-6966
1104,화서,경기도 수원시 팔달구 화서동 184-348,경기도,031-247-5754
1105,권선,경기도 수원시 권선동 1028-6번지,경기도,031-222-8202
1106,곡반정,경기도 수원시 권선구 곡반정동 569-16,경기도,031-235-9282
1107,매탄,경기도 수원시 영통구 매탄동 196-79,경기도,031-212-2457
1108,광교점,경기도 수원시 영통구 법조로 149번길 190,경기도,031-215-9282
1109,흥덕,경기도 수원시 영통구 삼성로 320번길 35 101-102,경기도,031-217-9283
1110,오목천,경기도 수원시 권선구 오목천동 472-40,경기도,031-227-1033
1111,기안,경기도 화성시 기안동 355-16,경기도,031-224-5646
1112,봉담,경기도 화성시 봉담읍 상리15-10,경기도,031-227-0052
1113,동탄2점,경기도 화성시 지산1길 22-1 103호(영천동),경기도,031-378-6644
1114,동탄1호점,경기도 화성시 동탄 반송3길 50-7. 1층(반송동),경기도,031-613-9924
1115,병점점,경기도 화성시 병점3로 157 상가 106,경기도,031-222-7292
1116,반도체,경기도 화성 태안 반월 360-8,경기도,031-202-2374
1117,신영통점,경기도 용인시 기흥구 서그내로 21(서천동),경기도,031-206-9266
1118,영통,"경기도 수원시 영통구 청면남로50번길 24, 101",경기도,031-202-9966
1119,남양,경기도 화성시 남양동 547,경기도,031-357-9980
1120,팔탄,경기도 화성시 팔탄면 서촌길 16,경기도,031-352-6787
1121,서근리,"경기도 화성시 팔탄면 버들로 1374(서근리), 1층",경기도,031-352-0787
1122,안중점,경기도 평택시 안중읍 안중로18번길 2-19,경기도,031-681-9688
1123,향남점,"경기도 화성시 향남읍 행정동로 86, 103호",경기도,031-354-9124
1124,발안점,경기도 화성시 향냠읍 평리 101-9,경기도,031-353-0015
1125,왕림점,경기도 화성시 봉담읍 왕림 405-1,경기도,031-298-6196
1126,성남태평,경기도 성남시 수정구 태평동 2359,경기도,031-755-9990
1127,금광,경기도 성남시 중원구 금광동 4314 104호,경기도,031-732-9229
1128,상대원,경기도 성남시 중원구 상대원동 1132,경기도,031-604-0123
1129,수지상현점,경기도 용인시 상현동 859 롯데아파트상가 116호,경기도,031-266-9292
1130,성남점,경기도 성남시 수정구 성남대로 1180번길 5-1(수진동),경기도,031-754-3384
1131,야탑점,경기도 성남시 분당구 야탑로 153번길 9- 103호(야탑동),경기도,031-709-1577
1132,동판교,경기도 성남시 분당구 동판교로 52번길 9-3(백현동),경기도,031-704-9222
1133,서현분당,"경기도 성남시 분당구 분당로 212, 상가동 102호(분당동, 샛별마을)",경기도,031-703-9285
1134,케이준 분당정자점,경기도 성남시 분당구 내정로 119번길 36(정자동1층),경기도,031-719-2443
1135,구미금곡점,경기도 성남시 분당구 미금일로 81,경기도,031-713-9288
1136,휘닉스파크점,"강원도 평창군 봉평면 태기로 30, A동 2층 101호(아벨라상가)",강원도,033-333-1114
1137,횡계점,강원도 평창군 대관령면 횡계리 321-12,강원도,033-335-5232
1138,화촌점,강원도 홍천군 화촌면 성산로134번길 15,강원도,033-432-8216
1139,화천점,강원도 화천군 화천읍 중앙로 26-2,강원도,033-441-6791
1140,홍천점,강원도 홍천군 홍천읍 꽃뫼로 137,강원도,033-433-5392
1141,호산점,강원도 삼척시 원덕읍 호산2길 67-1,강원도,033-572-9095
1142,현리점,강원도 인제군 기린면 덕다리길 8,강원도,033-461-5406
1143,혁신점,"강원도 원주시 양지로 160-2, 107호(반곡동, 부영A상가)",강원도,033-746-0909
1144,학성점,"강원도 원주시 학성길 46, 상가동 1층 103호(학성동, 삼천리아파트)",강원도,033-744-2101
1145,퇴계점,강원도 춘천시 행촌로32번길 16(퇴계동),강원도,033-256-5149
1146,태장소초점,강원도 원주시 소초면 치악로 2355,강원도,033-732-0095
1147,태장1점,강원도 원주시 현충로 148(태장동),강원도,033-745-8800
1148,태백점,"강원도 태백시 황지로 44. 107호(황지동, 우남연립)",강원도,033-553-4560
1149,천도리점,강원도 인제군 서화면 천도로 133-1,강원도,033-462-0990
1150,천곡점,강원도 동해시 감추로 16(천곡동),강원도,033-533-5999
1151,중동점,강원도 영월군 중동면 태백산로 1199,강원도,033-378-2200
1152,주천점,강원도 영월군 주천면 주천면 주천로84번길 1,강원도,033-372-9262
1153,조양점,"강원도 속초시 새마을길 5, 1층(조양동)",강원도,033-632-7111
1154,정선점,강원도 정선군 정선읍 비봉로 58-1,강원도,033-562-7447
1155,정선남면점,강원도 정선군 남면 문은단로 3,강원도,033-592-8288
1156,정동진점,강원도 강릉시 강동면 정동3길 46-4,강원도,033-644-5831
1157,임원점,강원도 삼척시 원덕읍 임원중앙로 37,강원도,033-573-6334
1158,일산점,"강원도 원주시 무실로 50(일산동, 지상1층)",강원도,033-731-5688
1159,인제점,강원도 인제군 인제읍 비봉로16번길 5,강원도,033-461-1666
1160,원통점,강원도 인제군 북면 원통로147번길 32,강원도,033-461-3269
1161,우산점,강원도 원주시 우산동 90-3번지,강원도,033-748-2777
1162,장호용화점,강원도 삼척시 근덕면 삼척로 2127,강원도,033-573-1239
1163,용대리점,"강원도 인제군 북면 미시령로 1150, 1층",강원도,033-462-9333
1164,오크밸리점,"강원도 원주시 지정면 오크밸리1길 70, 1층(빌리지센타)",강원도,033-730-3737
1165,양양점,강원도 양양군 양양읍 남문7길 5,강원도,033-671-4743
1166,양양동호점,강원도 양양군 손양면 선사유적로 316-20,강원도,033-672-6787
1167,양덕원점,강원도 홍천군 남면 양덕원2길 30,강원도,033-432-0880
1168,양구점,강원도 양구군 양구읍 사명길 66,강원도,033-481-9998
1169,아야진점,강원도 고성군 토성면 아야진리 49-3,강원도,033-631-1130
1170,쌍용점,강원도 영월군 한반도면 쌍용로 82-1,강원도,033-372-5261
1171,신남점,강원도 인제군 남면 신남로48번길 19,강원도,033-461-8295
1172,시동점,강원도 홍천군 남면 시동안로 321,강원도,033-432-0939
1173,수타사점,강원도 홍천군 동면 속초길 6,강원도,033-436-9992
1174,석사점,강원도 춘천시 효석로67번길 18-1(석사동),강원도,033-262-6592
1175,서화점,강원도 인제군 서화면 금강로 1777-1,강원도,033-463-4855
1176,서원점,강원도 횡성군 서원면 서원로 144-2,강원도,033-342-2224
1177,서면점,강원도 홍천군 서면 팔봉산로 1180,강원도,033-434-5605
1178,북방점,강원도 홍천군 북방면 영서로 2706,강원도,033-434-8824
1179,부영점,강원도 속초시 조양로 142번길 15(조양동),강원도,033-635-0605
1180,부안점,강원도 춘천시 보안길 42(후평동),강원도,033-251-1677
1181,봉포점,강원도 고성군 토성면 토성로 65,강원도,033-635-7575
1182,미탄점,강원도 평창군 미탄면 미탄중앙로 42,강원도,033-334-1105
1183,명륜점,"강원도 원주시 남원로527번길 66, 1층 (명륜동)",강원도,033-762-7778
1184,마차점,강원도 영월군 북면 마차중앙1길 39-1,강원도,033-372-3940
1185,둔내점,강원도 횡성군 둔내면 경강로둔방6길 8,강원도,033-344-5885
1186,동해본점,"강원도 동해시 해안로 635-4, 1층(발한동)",강원도,033-533-9383
1187,동면점,강원도 양구군 동면 금강산로 1554,강원도,033-481-7130
1188,단관점,"강원도 원주시 단관길 177-9(관설동, 1층)",강원도,033-766-9266
1189,단계점,강원도 원주시 북원로2246번길 45(단계동),강원도,033-731-0101
1190,내면점,강원도 홍천군 내면 창촌로 33-1,강원도,033-432-1763
1191,남양점,"강원도 삼척시 중앙시장길 68-26(남양동, 단층일부)",강원도,033-574-4582
1192,남부점,강원도 춘천시 공지로 354(효자동),강원도,033-254-3503
1193,남면점,강원도 양구군 남면 삼팔선로 10,강원도,033-481-2521
1194,금호점,강원도 속초시 중앙로121번길 6(금호동),강원도,033-633-2239
1195,근덕점,강원도 삼척시 근덕면 교가길 22-9,강원도,033-573-9293
1196,구곡점,"강원도 원주시 늘품로 8, 101호(단구동)",강원도,033-762-8989
1197,교동점,강원도 속초시 교동 먹거리4길 33(교동),강원도,033-632-3370
1198,계촌점,강원도 평창군 방림면 계촌길 58,강원도,033-333-9950
1199,거두점,강원도 춘천시 동내면 거두택지길 32(1층),강원도,033-261-0552
1200,강현점,강원도 양양군 강현면 물치천로 12,강원도,033-671-4201
1201,강릉교동점,"강원도 강릉시 율곡초교길39번길 18, 1층(교동)",강원도,033-648-9911
1202,강대점,"강원도 춘천시 서부 대성로 182-1, 1층(효자동)",강원도,033-251-7782
1203,김화점,강원도 철원군 김화읍 김화로 635,강원도,033-458-5572
1204,문혜리점,강원도 철원군 갈말읍 두루미로 100-1,강원도,033-452-5592
1205,칠금봉방점,충북 충주시 연수동 1245,충청북도,043-853-9288
1206,청전점,충북 제천시 숭문로20길 26(의림동),충청북도,043-648-9222
1207,지현점,충북 충주시 사직산8길 22(지현동),충청북도,043-852-9991
1208,제천A점,"충북 제천시 숭의로1길 2, 1층(화산동)",충청북도,043-642-6992
1209,이류점,충북 충주시 대소원면 대소원1길 21,충청북도,043-851-9289
1210,연수점,충북 충주시 금릉동 708-2,충청북도,043-845-9201
1211,수안보점,충북 충주시 수안보면 장터1길 19,충청북도,043-848-7278
1212,부강점,충북 충주시 교현동 1087,충청북도,043-843-5163
1213,금가점,충북 충주시 금가면 강수로 335,충청북도,043-853-9191
1214,광혜원점,충청북도 음성군 대소면 대청로 15 ,충청북도,043-535-9998
1215,금천점,충청북도 청주시 상당구 수영로259번길 64 ,충청북도,043-257-5853
